,smiles_string,prop,value
165,[*]/C(=C(/[*])c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,p_exp_CH4,-5.555955204
166,[*]/C(=C(/[*])c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,p_exp_CO2,-5.453457337
167,[*]/C(=C(/[*])c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,p_exp_H2,-5.568636236
168,[*]/C(=C(/[*])c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,p_exp_He,-5.89279003
169,[*]/C(=C(/[*])c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,p_exp_N2,-5.920818754
170,[*]/C(=C(/[*])c1ccccc1F)c1ccc2c(c1)C(C)(C)CC2(C)C,p_exp_O2,-5.844663963
171,[*]/C(C)=C(/[*])CC(C)C,p_exp_CH4,-7.721246399
172,[*]/C(C)=C(/[*])CC(C)C,p_exp_CO2,-7.045757491
173,[*]/C(C)=C(/[*])CC(C)C,p_exp_H2,-7.124938737
174,[*]/C(C)=C(/[*])CC(C)C,p_exp_He,-7.337242168
175,[*]/C(C)=C(/[*])CC(C)C,p_exp_N2,-8.031517051
176,[*]/C(C)=C(/[*])CC(C)C,p_exp_O2,-7.610833916
177,[*]/C(C)=C(/[*])CCC(C)C,p_exp_CH4,-7.950781977
178,[*]/C(C)=C(/[*])CCC(C)C,p_exp_CO2,-7.408935393
179,[*]/C(C)=C(/[*])CCC(C)C,p_exp_H2,-7.431798276
180,[*]/C(C)=C(/[*])CCC(C)C,p_exp_He,-7.619788758
181,[*]/C(C)=C(/[*])CCC(C)C,p_exp_N2,-8.292429824
182,[*]/C(C)=C(/[*])CCC(C)C,p_exp_O2,-7.886056648
183,[*]/C(C)=C(/[*])[Si](C)(C)C(C)C,p_exp_CH4,-7.443697499
184,[*]/C(C)=C(/[*])[Si](C)(C)C(C)C,p_exp_CO2,-6.657577319
185,[*]/C(C)=C(/[*])[Si](C)(C)C(C)C,p_exp_H2,-6.782516056
186,[*]/C(C)=C(/[*])[Si](C)(C)C(C)C,p_exp_He,-7.167491087
187,[*]/C(C)=C(/[*])[Si](C)(C)C(C)C,p_exp_N2,-7.769551079
188,[*]/C(C)=C(/[*])[Si](C)(C)C(C)C,p_exp_O2,-7.337242168
189,[*]/C(C)=C(/[*])[Si](C)(C)CC,p_exp_CH4,-6.920818754
