,smiles_string,prop,value
174,*CC(=O)OC1=CC=C(C=C1)C=C*,Tg,389.1347363
175,*C=CCOC(*)C1CO1,Tg,195.16413
176,*OC(=O)Oc1ccccc1C(c2ccccc2)(C)C[*],Tg,447.1981518
177,*CC(C)(C)OC=C*,Tg,361.1602958
178,Cl\C([*])=C\C([*])=C,Tg,233.1309857
179,*C=C(*)OC1CCCCC1,Tg,354.1604004
180,*CC(=C)C(=O)O*,Tg,501.1872336
181,*CC(=C)C(=O)OC(=O)C(=C)C*,Tg,432.1156545
182,*OC1C(OC)C(OC)C(OC)C(OC)C1O*,Tg,273.1492422
183,*CC1=CC=C(C=C1)[Si]O*,Tg,187.154382
184,*CC1=CC=C(C=C1)C=C*,Tg,293.1568186
185,C1CCN(C1)C(=O)C([*])CCCC(=O)N*,Tg,316.1549603
186,O=C1CC(*)C(*)CCN1,Tg,325.1621601
187,C1CCCN(CC1)C(=O)C(*)CCCCCCC(=O)N*,Tg,331.1311215
188,*CCCCCCCCCCCCCCCCC=C*,Tg,328.1708485
189,*CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C*,Tg,173.1410313
190,*CCCCCCC=C*,Tg,210.1357769
191,N([*])C(=O)c1ccc(cc1)C(=O)n1c2cc1cc(c2[*]),Tg,498.195729
192,*CN(C)C(=O)C=C*,Tg,362.1595985
193,*CCCCCCCCCCCCOC=C*,Tg,211.1543341
194,C1C(*)(O1)C(*)Br,Tg,259.1791135
195,C1C(*)(O1)C(*)Cl,Tg,251.1308115
196,*CC(*)C1CO1,Tg,203.1421291
197,*CCCCCCCC(*)C1CO1,Tg,203.1421291
198,*CCCCCC(*)C1CO1,Tg,206.1579087
199,O([*])C1C(OCC)C(OC)C(OCC)C(OC1([*]))OCC,Tg,316.1549603
200,O=C1OCCOC(=O)c2c(*)cc(*)c1c2,Tg,324.1156488
201,*C1COC(=O)C(*)C(=O)O1,Tg,244.1743273
202,*C1C(*)O1,Tg,207.1571846
203,*CCOC=C*,Tg,230.1441817
204,C([*])1C=CC2=CC([*])=CC=C21,Tg,358.1789013
205,*CC(=C)C(=O)OC1CC2CCC1(C2(C)C)C*,Tg,383.1775004
206,*C=C(*)C(=O)C1=CC=CC=C1,Tg,347.1362759
207,*CCCOC=C*,Tg,224.1300046
208,*C1CCOC1*,Tg,189.1472363
209,*CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC*,Tg,290.1349182
210,*C1COC1*,Tg,195.16413
211,*CC(C)(C)C1=CC=C(C=C1)C(=O)OC=C*,Tg,374.1105883
212,C(=C[*])C1=C2C(=CC=C1)C3=CC([*])=CC=C3N2,Tg,500.1496854
213,[*]C=C([*])OC(=O)C1CCCCC1,Tg,349.1403155
214,*C=C(*)F,Tg,314.1231906
215,*CC(C)(C)C(=O)OC=C*,Tg,359.1699548
216,*C=C(*)C1=CC=CC=N1,Tg,377.137745
217,*C=C(*)C1=CC=NC=C1,Tg,415.14518
218,O1C([*])(F)C(F)(F)C(F)(F)C1(F)[*],Tg,222.997503
219,F\C([*])=C([*])/F,Tg,387.9716573
220,[*]C[SiH](C)O[*],Tg,148.0130473
221,FC(F)(F)COC(=O)C([*])=C[*],Tg,263.0267992
222,*C=C(*)F,Tg,233.0236497
223,CC(C)COC([*])=C[*],Tg,251.0151881
224,CCOC([*])=C[*],Tg,253.9802814
225,CCCCOC([*])=C[*],Tg,221.0039317
226,O(C[*])C[*],Tg,206.015549
227,CCCCOCC1([*])OC1([*]),Tg,193.9992272
228,CCCCCOC([*])=C[*],Tg,207.0141349
229,CCCCCCOCC1([*])OC1([*]),Tg,188.0182473
230,CCCCCCCCOC([*])=C[*],Tg,193.9992272
231,CCCCC(CC)COC([*])=C[*],Tg,207.0141349
232,CCCCCCCCCCOC([*])=C[*],Tg,197.0153207
233,CC([*])=C([*])C(=O)OC(C)(C)C,Tg,391.0209261
234,CC(C)CC([*])=C[*],Tg,301.995172
235,CCCCOC(=O)C([*])=C[*],Tg,218.9777555
236,CCC(=O)OC([*])=C[*],Tg,283.0088392
237,COC([*])=C[*],Tg,260.0159563
238,CC(=O)OC([*])=C[*],Tg,301.0232221
239,CCOC(=O)C([*])=C[*],Tg,251.0151881
240,O=C(OC(C)C)\C([*])=C([*])/C,Tg,326.9640468
241,CC([*])=C[*],Tg,233.0236497
242,[*]CCO[C@H](C)CC[*],Tg,252.9880456
243,[*]CCCCCCCCCCCCOC(=O)C(=C)C[*],Tg,218.0218397
244,O([*])C(=O)CCCC(=O)O([*]),Tg,272.0194762
245,[*]C=C([*])OC=O,Tg,304.0184917
246,[*]C=C[*],Tg,148.0130473
247,O([*])C([*]),Tg,218.0218397
248,CCCCCCOC(=O)C([*])=C([*])C,Tg,267.9785297
249,CCCCOC(=O)C([*])=C([*])C,Tg,293.021846
250,CCCOC(=O)C([*])=C([*])C,Tg,308.0349537
251,CCOC(=O)C([*])=C([*])C,Tg,323.9664224
252,O1C([*])COC(CCC)C1([*]),Tg,323.9664224
253,CC([*])=C([*])C(=O)OC,Tg,378.0071373
254,ClC([*])C([*])C(=O)OC(CC)C,Tg,346.9764505
255,CC([*])=C=C([*]),Tg,269.0295592
256,*CCO*,Tg,358.0139918
257,[*]CC(Cl)C(=O)OCC[*],Tg,194.98446
258,CC1CCCCC1OC(=O)C([*])=C([*])C,Tg,293.021846
259,C1CCCCC1OC(=O)C([*])=C([*])C,Tg,376.9641066
260,*CC(=C)C(=O)OCCO*,Tg,359.004589
261,[*]C=C([*])OC(=O)CCl,Tg,304.0184917
262,[*]CC(=C)C(=O)OCC([*])Cl,Tg,365.0059971
263,[*]C=C([*])C#N,Tg,378.0071373
264,C/C([*])=C/C([*]),Tg,203.001852
265,[*]C=C([*])C(=O)O,Tg,378.9657838
266,O=C1N(C([*])=C([*]))CCCC1,Tg,418.022829
267,[*]O[SiH](C([*]))c1ccccc1,Tg,186.9820858
268,ClC([*])=C([*])C(=O)OC1CCCCC1,Tg,386.9902292
269,[*]C=C([*])Cl,Tg,348.0166322
270,[*]C=C([*])C(=C)Cl,Tg,225.0090572
271,O=C(OCC1=CC=CC=C1)\C([*])=C([*])/C,Tg,326.9640468
272,O([*])C(=O)c1ccc(C(=O)OCC[*])cc1,Tg,344.9848314
273,c1ccccc1C(=O)OC([*])=C([*]),Tg,344.0329188
274,C([*])=C([*])c1ccccc1OC,Tg,408.9780501
275,c1ccccc1C([*])=C([*]),Tg,372.9924148
276,S1C([*])C([*])C1,Tg,225.9956084
277,CC([*])=C([*])C(=O)NCc1ccccc1,Tg,494.9940744
278,COc1ccc(C([*])=C([*]))cc1,Tg,361.9928562
279,ClC([*])=C([*])Cl,Tg,255.9764431
280,Clc1ccccc1C([*])=C([*]),Tg,392.0125763
281,Clc1c(Cl)cccc1C([*])=C([*]),Tg,440.0479478
282,ClCc1ccc(C([*])=C[*])cc1,Tg,353.0205604
283,[*]c1ccc(Oc2ccccc2)c(Oc2ccccc2)c1[*],Tg,492.9467413
284,[*]C=Cc1ccc(C=C[*])cc1,Tg,332.9660852
285,[*]C=C([*])c1ccc2ccccc2c1,Tg,432.0161676
286,[*]C=C([*])N1c2ccccc2-c3ccccc31,Tg,422.9606843
287,[*]C([*])=C(C(=O)OCC(F)(F)C(F)(F)F),Tg,343.0046439
